timestamp, j1, j2, j3, j4, j5, j6, x, y, z, rx, ry, rz
 0.0000000, -46.9997, -116.11, -80.8673, -72.7313, 87.4563, -93.2145, 0.3649, -0.5596,  0.275, 2.8736, -1.1588, -0.0215
 0.2000000, -46.9997, -116.11, -80.8615, -72.7255, 87.4505, -93.2145, 0.3649, -0.5596,  0.275, 2.8735, -1.1588, -0.0213
 0.4000000, -46.9997, -116.11, -80.8673, -72.7255, 87.4563, -93.2145,  0.365, -0.5596,  0.275, 2.8736, -1.1588, -0.0214
 0.7040000, -46.9997, -116.11, -80.8615, -72.7255, 87.4505, -93.2088, 0.3649, -0.5596,  0.275, 2.8735, -1.1588, -0.0213
 0.8080000, -46.9997, -116.11, -80.8615, -72.7255, 87.4563, -93.2145,  0.365, -0.5596,  0.275, 2.8736, -1.1588, -0.0214
 1.1040000, -46.9997, -116.11, -80.8673, -72.7313, 87.4505, -93.2145, 0.3649, -0.5596,  0.275, 2.8736, -1.1588, -0.0215
 1.3040000, -46.9997, -116.116, -80.8615, -72.7255, 87.4505, -93.2145, 0.3649, -0.5596,  0.275, 2.8736, -1.1588, -0.0215
 1.5120000, -46.9997, -116.11, -80.8673, -72.7313, 87.4505, -93.2145, 0.3649, -0.5596,  0.275, 2.8736, -1.1588, -0.0215
 1.7120000, -46.9997, -116.11, -80.8673, -72.7255, 87.4505, -93.2145,  0.365, -0.5596,  0.275, 2.8736, -1.1587, -0.0214
 1.9120000, -46.9997, -116.11, -80.8615, -72.7255, 87.4563, -93.2145,  0.365, -0.5596,  0.275, 2.8736, -1.1587, -0.0214
 2.1120000, -46.9997, -116.11, -80.8615, -72.7255, 87.4563, -93.2145, 0.3649, -0.5596,  0.275, 2.8736, -1.1588, -0.0214
 2.3120000, -46.994, -116.15, -80.9016, -72.737, 87.4563, -93.2145,  0.365, -0.5596, 0.2743, 2.8742, -1.1588, -0.0233
 2.5120000, -46.9997, -116.391, -81.0506, -72.8172, 87.4505, -93.2145,  0.365, -0.5597, 0.2701, 2.8774,  -1.16, -0.0352
 2.7120000, -46.994, -116.477, -81.085, -72.8229, 87.4505, -93.2145, 0.3651, -0.5598, 0.2688, 2.8783, -1.1602, -0.0382
 2.9120000, -46.994, -116.488, -81.0964, -72.8229, 87.4563, -93.2145, 0.3651, -0.5598, 0.2686, 2.8785, -1.1602, -0.0388
 3.1200000, -46.9997, -116.494, -81.1022, -72.8229, 87.4563, -93.2145, 0.3651, -0.5598, 0.2684, 2.8786, -1.1603, -0.0391
 3.3200000, -46.9997, -116.5, -81.1136, -72.8115, 87.4505, -93.2145, 0.3651, -0.5598, 0.2683, 2.8785, -1.1602, -0.0392
 3.5200000, -46.9997, -116.5, -81.0964, -72.7828, 87.4448, -93.2202, 0.3651, -0.5599, 0.2685, 2.8782, -1.1601, -0.0383
 3.7200000, -46.9997, -116.5, -81.0964, -72.7714, 87.4448, -93.2145, 0.3652, -0.5599, 0.2685, 2.8781, -1.1601, -0.038
 3.9200000, -46.9997, -116.505, -81.0964, -72.7599, 87.4448, -93.2202, 0.3652, -0.5599, 0.2685, 2.8781,  -1.16, -0.0379
 4.1200000, -46.9997, -116.54, -81.1022, -72.7542, 87.4448, -93.2202, 0.3653,  -0.56, 0.2681, 2.8783, -1.1601, -0.0386
 4.3280000, -46.9997, -116.597, -81.0678, -72.6797, 87.4448, -93.2145, 0.3656, -0.5603, 0.2678, 2.8779,  -1.16, -0.0373
 4.5280000, -46.994, -116.752, -80.8501, -72.6854, 87.4448, -93.1744, 0.3664, -0.5612, 0.2678, 2.8771, -1.1609, -0.0359
 4.7280000, -46.994, -116.975, -80.5292, -72.7427, 87.4563, -93.0541, 0.3676, -0.5624, 0.2677, 2.8758, -1.1639, -0.0349
 4.8240000, -46.9711, -117.113, -80.3344, -72.8459, 87.462, -92.9853, 0.3685, -0.5629, 0.2676, 2.8757, -1.165, -0.0357
 5.1280000, -46.8565, -117.422, -79.813, -73.2756, 87.4735, -92.9051, 0.3711, -0.5638, 0.2676, 2.8777, -1.1648, -0.0408
 5.3280000, -46.7763, -117.531, -79.6354, -73.3959, 87.4792, -92.9166, 0.3725, -0.5638, 0.2676,  2.879, -1.1627, -0.0419
 5.5280000, -46.6273, -117.651, -79.4406, -73.436, 87.4792, -92.9051, 0.3746, -0.5636, 0.2676, 2.8801, -1.1591, -0.0412
 5.7280000, -46.5013, -117.8,  -79.2, -73.585, 87.4735, -92.8765, 0.3766, -0.5635, 0.2677, 2.8814, -1.1566, -0.0425
 5.9280000, -46.3294, -118.018, -78.839, -73.7798, 87.4677, -92.6931, 0.3794, -0.5636, 0.2678, 2.8814, -1.1571, -0.0436
 6.1360000, -46.1288, -118.253, -78.4437, -74.0261, 87.462, -92.4926, 0.3826, -0.5635, 0.2679, 2.8818, -1.157, -0.0457
 6.3360000, -45.9111, -118.534, -77.9738, -74.284, 87.4563, -92.315, 0.3862, -0.5636,  0.268, 2.8825, -1.1561, -0.0473
 6.5360000, -45.6762, -118.877, -77.4295, -74.559, 87.462, -92.292, 0.3902, -0.5638,  0.268, 2.8851, -1.1509, -0.0487
 6.7360000, -45.3725, -119.284, -76.8107, -74.7252, 87.462, -92.1717, 0.3954, -0.5639,  0.268, 2.8866, -1.1463, -0.0476
 6.9360000, -45.086, -119.702, -76.1518, -74.9486, 87.4792, -91.9196, 0.4004, -0.5642,  0.268, 2.8869, -1.1455, -0.0467
 7.1360000, -44.7652, -120.103, -75.5044, -75.1778, 87.4907, -91.7019, 0.4058, -0.5641, 0.2683, 2.8879, -1.1429, -0.0457
 7.3360000, -44.4042, -120.608, -74.6793, -75.4986, 87.5021, -91.3925, 0.4121, -0.5642, 0.2685, 2.8884, -1.1415, -0.0454
 7.5360000, -43.986, -121.249, -73.6251, -75.9456, 87.5594, -91.0545, 0.4197, -0.5644, 0.2687, 2.8901,  -1.14, -0.0453
 7.7360000, -43.5391, -121.868, -72.5938, -76.3982, 87.5651, -90.8768, 0.4274, -0.5643, 0.2689,  2.893, -1.1332, -0.0461
 7.9440000, -43.1609, -122.412, -71.6656, -76.8909, 87.5537, -90.4815,  0.434, -0.5641, 0.2691, 2.8931, -1.1336, -0.0486
 8.1440000, -42.7427, -123.003, -70.7145, -77.1831, 87.5537, -89.8341, 0.4412, -0.5639, 0.2693, 2.8902, -1.1393, -0.0463
 8.3440000, -42.3072, -123.604, -69.7404, -77.504, 87.5537, -88.734, 0.4488, -0.5635, 0.2694, 2.8829, -1.1558, -0.0442
 8.5440000, -41.9176, -124.223, -68.7034, -77.9624, 87.5537, -86.7114, 0.4559, -0.5634, 0.2696, 2.8658, -1.1965, -0.044
 8.7440000, -41.4936, -124.968, -67.5059, -78.4551, 87.5537, -83.9154, 0.4639, -0.5634, 0.2694, 2.8399, -1.2554, -0.0434
 8.9440000, -41.1097, -125.621, -66.3943, -78.965, 87.5594, -81.4689, 0.4711, -0.5633, 0.2696, 2.8165, -1.3062, -0.0434
 9.1440000, -40.8061, -126.217, -65.3974, -79.475, 87.548, -79.0166, 0.4771, -0.5634, 0.2695, 2.7911, -1.3586, -0.0448
 9.3520000, -40.531, -126.796, -64.4119, -79.9906, 87.5537, -76.7706, 0.4827, -0.5636, 0.2695, 2.7673, -1.4063, -0.0465
 9.5520000, -40.2904, -127.22, -63.6843, -80.3058, 87.548, -74.5475, 0.4873, -0.5635, 0.2696,  2.742, -1.4536, -0.0456
